anonID,eProfileClass,fuelTypes,ACORN_Category,ACORN_Group,ACORN_Type,ACORN_Code,ACORN_Description,NUTS4,LACode,NUTS1,gspGroup,LDZ,Elec_Tout,Gas_Tout
49,2,Dual,4,M,41,"4 ,M ,41","Skilled workers, semis and terraces",--,--,UKF,_B,EM,0,0
50,1,Dual,3,I,33,"3 ,I ,33","Middle income, older couples",--,--,--,--,--,0,0
51,2,Dual,4,M,41,"4 ,M ,41","Skilled workers, semis and terraces",UKF1304,17UG,UKF,_B,EM,0,0
52,1,ElecOnly,3,H,28,"3 ,H ,28",Working families with mortgages,UKG1303,44UD,UKG,_B,--,0,0
53,1,Dual,1,C,9,"1 ,C ,9","Older families, prosperous suburbs",--,--,UKG,_B,WM,0,0
54,1,Dual,3,I,33,"3 ,I ,33","Middle income, older couples",UKL1604,00PK,UKL,_K,WS,1,1
56,2,Dual,1,C,9,"1 ,C ,9","Older families, prosperous suburbs",--,--,UKG,_E,WM,0,0
57,1,Dual,1,A,1,"1 ,A ,1","Wealthy mature professionals, large houses",--,--,UKJ,_J,SE,0,0
59,1,Dual,1,B,7,"1 ,B ,7","Old people, detached homes",UKG3401,00CR,UKG,_E,WM,0,0
63,2,Dual,3,H,26,"3 ,H ,26",Younger white-collar couples with mortgages,--,--,UKF,_B,EM,0,0
64,1,ElecOnly,4,L,39,"4 ,L ,39","Skilled older families, terraces",--,--,UKJ,_J,SE,1,0
65,1,Dual,5,N,48,"5 ,N ,48","Families and single parents, semis and terraces",--,--,UKF,_B,EM,0,0
66,1,ElecOnly,1,A,4,"1 ,A ,4","Well-off managers, larger houses",,--,UKM,_P,--,1,0
67,1,Dual,3,H,30,"3 ,H ,30",Established home owning workers,--,--,UKG,_B,WM,0,0
69,2,ElecOnly,3,I,34,"3 ,I ,34","Lower incomes, older people, semis",--,--,UKF,_B,--,0,0
70,2,ElecOnly,5,N,44,"5 ,N ,44","Low income larger families, semis",--,--,UKF,_B,--,0,0
71,1,ElecOnly,1,B,6,"1 ,B ,6",Farming communities,UKM2101,00QC,UKM,_P,--,1,0
72,1,ElecOnly,1,B,6,"1 ,B ,6",Farming communities,UKM2701,00RB,UKM,_P,--,0,0
73,1,ElecOnly,1,B,7,"1 ,B ,7","Old people, detached homes",--,--,--,--,--,0,0
74,2,ElecOnly,3,I,33,"3 ,I ,33","Middle income, older couples",--,--,UKF,_B,--,0,0
75,1,Dual,3,J,36,"3 ,J ,36","Older people, flats",--,--,UKG,_E,WM,0,0
76,2,ElecOnly,1,A,4,"1 ,A ,4","Well-off managers, larger houses",--,--,UKF,_B,--,0,0
77,1,Dual,5,O,50,"5 ,O ,50","Single elderly people, council flats",UKM2101,00QC,UKM,_P,SC,1,1
78,1,Dual,5,N,48,"5 ,N ,48","Families and single parents, semis and terraces",UKL2103,00PP,UKL,_K,WS,1,0
79,1,Dual,3,H,31,"3 ,H ,31",Home owning Asian family areas,UKG3100,00CN,UKG,_E,WM,0,0
80,1,ElecOnly,1,C,9,"1 ,C ,9","Older families, prosperous suburbs",UKJ2303,43UD,UKJ,--,--,0,0
81,1,ElecOnly,1,C,10,"1 ,C ,10",Well-off working families with mortgages,UKJ3301,24UB,UKJ,_H,--,1,0
83,1,ElecOnly,1,A,2,"1 ,A ,2",Wealthy working families with mortgages,UKL1606,00PM,UKL,_K,--,0,0
84,2,Dual,1,A,1,"1 ,A ,1","Wealthy mature professionals, large houses",UKG1305,44UF,UKG,_B,WM,0,0
85,1,Dual,5,N,47,"5 ,N ,47","Low income families, terraced estates",--,--,UKF,_B,EM,0,0
86,1,ElecOnly,5,N,44,"5 ,N ,44","Low income larger families, semis",--,--,UKJ,_H,--,0,0
87,2,ElecOnly,4,M,41,"4 ,M ,41","Skilled workers, semis and terraces",UKF2303,34UD,UKF,_B,--,0,0
89,2,ElecOnly,1,A,1,"1 ,A ,1","Wealthy mature professionals, large houses",UKG1305,44UF,UKG,_B,--,0,0
90,2,ElecOnly,1,A,4,"1 ,A ,4","Well-off managers, larger houses",UKF2304,34UE,UKF,_B,--,0,0
91,1,Dual,3,H,30,"3 ,H ,30",Established home owning workers,UKG3100,00CN,UKG,_E,WM,0,0
92,2,ElecOnly,1,B,7,"1 ,B ,7","Old people, detached homes",--,--,UKF,_B,--,0,0
93,1,Dual,4,M,42,"4 ,M ,42","Home owning families, terraces",UKM3800,00RF,UKM,_N,SC,0,0
94,1,Dual,5,N,44,"5 ,N ,44","Low income larger families, semis",--,--,UKG,_E,WM,0,0
95,1,ElecOnly,3,H,30,"3 ,H ,30",Established home owning workers,UKM2701,00RB,UKM,_P,--,1,0
96,2,Dual,1,A,1,"1 ,A ,1","Wealthy mature professionals, large houses",UKG3300,00CQ,UKG,_B,WM,0,0
98,2,Dual,4,M,41,"4 ,M ,41","Skilled workers, semis and terraces",UKF2202,31UC,UKF,_B,EM,0,0
99,1,Dual,1,A,1,"1 ,A ,1","Wealthy mature professionals, large houses",--,--,UKJ,_J,SE,0,0
100,1,Dual,1,C,12,"1 ,C ,12",Large families and houses in rural areas,UKM2101,00QC,UKM,_P,SC,0,0
101,1,Dual,5,N,46,"5 ,N ,46","Low income, routine jobs, terraces and flats",UKM2701,00RB,UKM,_P,SC,0,0
102,1,Dual,3,H,26,"3 ,H ,26",Younger white-collar couples with mortgages,UKL1606,00PM,UKL,_K,WS,0,0
103,1,Dual,3,G,25,"3 ,G ,25","White-collar singles/sharers, terraces",UKJ2100,00ML,UKJ,_J,SE,0,0
104,1,ElecOnly,1,A,3,"1 ,A ,3",Villages with wealthy commuters,,--,UKM,_P,--,1,0
105,1,ElecOnly,3,H,30,"3 ,H ,30",Established home owning workers,--,--,UKJ,_J,SE,0,0
106,2,Dual,3,H,29,"3 ,H ,29",Mature families in suburban semis,UKF1100,00FK,UKF,_B,EM,0,0
107,1,Dual,1,C,11,"1 ,C ,11","Well-off managers, detached houses",UKG2403,41UD,UKG,_E,WM,0,0
108,1,ElecOnly,2,D,13,"2 ,D ,13","Well-off professionals, larger houses and converted flats",--,--,UKI,_C,NT,0,0
110,1,Dual,1,C,9,"1 ,C ,9","Older families, prosperous suburbs",UKM3800,00RF,UKM,_N,SC,0,0
111,1,ElecOnly,4,M,42,"4 ,M ,42","Home owning families, terraces",--,--,UKI,--,--,1,0
112,2,Dual,1,B,8,"1 ,B ,8","Mature couples, smaller detached homes",--,--,UKF,_B,EM,0,0
115,1,Dual,4,M,43,"4 ,M ,43","Older people, rented terraces",UKM2102,00QJ,UKM,_P,SC,1,1
116,2,Dual,1,C,10,"1 ,C ,10",Well-off working families with mortgages,UKF1601,37UD,UKF,_B,EM,0,0
117,2,Dual,3,G,25,"3 ,G ,25","White-collar singles/sharers, terraces",--,--,UKF,_B,EM,0,0
118,2,Dual,5,N,48,"5 ,N ,48","Families and single parents, semis and terraces",--,--,UKF,_B,EM,0,0
119,2,Dual,5,P,54,"5 ,P ,54","Singles and single parents, high-rise estates",--,--,UKF,_B,EM,0,0
120,1,ElecOnly,3,H,28,"3 ,H ,28",Working families with mortgages,UKG1303,44UD,UKG,_B,--,0,0
122,1,ElecOnly,1,B,8,"1 ,B ,8","Mature couples, smaller detached homes",UKF2204,31UE,UKF,_B,--,0,0
123,1,Dual,1,A,1,"1 ,A ,1","Wealthy mature professionals, large houses",UKJ2305,43UF,UKJ,_J,SE,0,0
124,1,Dual,1,A,1,"1 ,A ,1","Wealthy mature professionals, large houses",UKJ3306,24UG,UKJ,_H,SO,0,0
125,1,Dual,1,C,9,"1 ,C ,9","Older families, prosperous suburbs",UKM2701,00RB,UKM,_P,SC,1,1
126,1,Dual,3,H,28,"3 ,H ,28",Working families with mortgages,UKM2101,00QC,UKM,_P,SC,0,0
127,1,Dual,3,I,33,"3 ,I ,33","Middle income, older couples",UKL2104,00PR,UKL,_K,WS,0,0
128,1,Dual,5,N,46,"5 ,N ,46","Low income, routine jobs, terraces and flats",UKM3800,00RF,UKM,_N,SC,0,0
129,1,ElecOnly,1,B,8,"1 ,B ,8","Mature couples, smaller detached homes",--,--,UKF,_B,--,0,0
130,1,Dual,5,N,45,"5 ,N ,45","Low income, older people, smaller semis",UKG3402,00CS,UKG,_E,WM,0,0
131,1,Dual,3,H,26,"3 ,H ,26",Younger white-collar couples with mortgages,UKM2102,00QJ,UKM,_P,SC,0,0
133,1,Dual,1,C,10,"1 ,C ,10",Well-off working families with mortgages,--,--,UKJ,_J,SE,0,0
134,1,Dual,1,A,1,"1 ,A ,1","Wealthy mature professionals, large houses",UKG3300,00CQ,UKG,_B,WM,0,0
135,1,ElecOnly,1,B,7,"1 ,B ,7","Old people, detached homes",UKJ2403,45UD,UKJ,_H,--,1,0
136,1,Dual,3,G,24,"3 ,G ,24","Young couples, flats and terraces",UKM3800,00RF,UKM,_N,SC,0,0
137,1,Dual,1,B,7,"1 ,B ,7","Old people, detached homes",UKM2102,00QJ,UKM,_P,SC,1,1
138,1,ElecOnly,1,B,8,"1 ,B ,8","Mature couples, smaller detached homes",UKM2701,00RB,UKM,_P,--,1,0
139,1,ElecOnly,4,M,42,"4 ,M ,42","Home owning families, terraces",UKG2402,41UC,UKG,_B,--,0,0
140,1,ElecOnly,3,G,25,"3 ,G ,25","White-collar singles/sharers, terraces",--,--,--,--,--,1,0
141,2,Dual,1,B,8,"1 ,B ,8","Mature couples, smaller detached homes",UKF1201,17UC,UKF,_B,EM,0,0
142,1,Dual,5,O,52,"5 ,O ,52","Families and single parents, council flats",UKL2103,00PP,UKL,_K,WS,1,1
143,1,Dual,3,H,28,"3 ,H ,28",Working families with mortgages,--,--,UKF,_B,EM,0,0
144,1,ElecOnly,1,C,11,"1 ,C ,11","Well-off managers, detached houses",UKF1503,37UF,UKF,_B,--,0,0
145,1,Dual,3,H,30,"3 ,H ,30",Established home owning workers,--,--,UKF,_B,EM,0,0
146,1,Dual,1,A,2,"1 ,A ,2",Wealthy working families with mortgages,--,--,UKJ,_J,SE,0,0
147,1,Dual,3,I,33,"3 ,I ,33","Middle income, older couples",UKL1604,00PK,UKL,_K,WS,1,1
148,1,Dual,3,I,33,"3 ,I ,33","Middle income, older couples",--,--,UKG,_B,WM,0,0
149,1,Dual,1,A,3,"1 ,A ,3",Villages with wealthy commuters,UKJ2301,43UB,UKJ,_J,SE,0,0
150,1,ElecOnly,1,B,8,"1 ,B ,8","Mature couples, smaller detached homes",--,--,--,--,--,0,0
151,1,Dual,1,B,5,"1 ,B ,5",Older affluent professionals,UKJ2207,21UH,UKJ,_J,SE,0,0
152,1,Dual,4,M,43,"4 ,M ,43","Older people, rented terraces",UKM3800,00RF,UKM,_N,SC,1,1
153,1,Dual,1,A,1,"1 ,A ,1","Wealthy mature professionals, large houses",UKJ2308,43UJ,UKJ,_H,SO,1,1
154,1,ElecOnly,5,N,44,"5 ,N ,44","Low income larger families, semis",UKL1604,00PK,UKL,_K,WS,0,0
155,1,ElecOnly,1,A,3,"1 ,A ,3",Villages with wealthy commuters,--,--,UKJ,_J,SE,0,0
156,2,Dual,4,M,41,"4 ,M ,41","Skilled workers, semis and terraces",--,--,UKG,_E,WM,0,0
157,2,Dual,1,B,8,"1 ,B ,8","Mature couples, smaller detached homes",UKF1400,00FY,UKF,_B,EM,0,0
159,1,ElecOnly,4,M,42,"4 ,M ,42","Home owning families, terraces",UKL1605,00PL,UKL,_K,--,0,0
160,1,Dual,3,H,29,"3 ,H ,29",Mature families in suburban semis,--,--,UKF,_B,EM,0,0
163,1,ElecOnly,1,B,6,"1 ,B ,6",Farming communities,UKM2701,00RB,UKM,_P,--,0,0
164,1,Dual,3,I,33,"3 ,I ,33","Middle income, older couples",--,--,UKG,_E,WM,0,0
165,1,Dual,3,H,28,"3 ,H ,28",Working families with mortgages,UKM3800,00RF,UKM,_N,SC,1,1
166,2,Dual,3,H,27,"3 ,H ,27","Middle income, home owning areas",UKF2302,34UC,UKF,_B,SO,0,0
167,2,Dual,3,I,33,"3 ,I ,33","Middle income, older couples",UKF2203,31UD,UKF,_B,EM,0,0
168,1,Dual,3,G,24,"3 ,G ,24","Young couples, flats and terraces",UKJ2303,43UD,UKJ,_H,SO,1,1
170,1,ElecOnly,2,E,19,"2 ,E ,19",Suburban privately renting professionals,UKJ2310,43UL,UKJ,_H,--,0,0
171,1,Dual,4,K,38,"4 ,K ,38",Low income Asian families,UKG3100,00CN,UKG,_E,WM,0,0
172,1,Dual,1,B,7,"1 ,B ,7","Old people, detached homes",--,--,UKG,_E,WM,0,0
173,1,Dual,1,A,1,"1 ,A ,1","Wealthy mature professionals, large houses",--,--,UKJ,_J,SE,0,0
174,2,Dual,1,B,8,"1 ,B ,8","Mature couples, smaller detached homes",UKF1304,17UG,UKF,_B,EM,0,0
175,2,Dual,1,A,3,"1 ,A ,3",Villages with wealthy commuters,UKF2203,31UD,UKF,_B,EM,0,0
176,2,Dual,4,L,39,"4 ,L ,39","Skilled older families, terraces",UKG3300,00CQ,UKG,_B,WM,0,0
177,2,ElecOnly,1,A,2,"1 ,A ,2",Wealthy working families with mortgages,UKJ1200,00MG,UKJ,_B,--,0,0
178,2,ElecOnly,4,M,41,"4 ,M ,41","Skilled workers, semis and terraces",--,--,UKF,_B,--,0,0
179,1,Dual,3,H,30,"3 ,H ,30",Established home owning workers,UKG3402,00CS,UKG,_E,WM,0,0
181,2,Dual,3,H,30,"3 ,H ,30",Established home owning workers,UKF2202,31UC,UKF,_B,EM,0,0
182,1,ElecOnly,4,M,42,"4 ,M ,42","Home owning families, terraces",UKM3800,00RF,UKM,_N,SC,0,0
183,2,Dual,4,M,43,"4 ,M ,43","Older people, rented terraces",UKF1100,00FK,UKF,_B,EM,0,0
184,2,Dual,3,H,26,"3 ,H ,26",Younger white-collar couples with mortgages,--,--,UKF,_B,EM,0,0
185,1,ElecOnly,4,M,42,"4 ,M ,42","Home owning families, terraces",UKG2402,41UC,UKG,_B,--,0,0
186,2,Dual,5,N,44,"5 ,N ,44","Low income larger families, semis",UKF2100,00FN,UKF,_B,EM,0,0
189,1,Dual,3,I,33,"3 ,I ,33","Middle income, older couples",UKM2701,00RB,UKM,_P,SC,1,1
190,1,Dual,3,H,29,"3 ,H ,29",Mature families in suburban semis,UKF1400,00FY,UKF,_B,EM,0,0
191,1,Dual,5,N,47,"5 ,N ,47","Low income families, terraced estates",UKL2104,00PR,UKL,_K,WS,0,0
192,2,ElecOnly,4,M,41,"4 ,M ,41","Skilled workers, semis and terraces",UKJ1200,00MG,UKJ,_B,--,0,0
193,2,Dual,4,M,42,"4 ,M ,42","Home owning families, terraces",--,--,UKF,_B,EM,0,0
194,2,ElecOnly,3,I,33,"3 ,I ,33","Middle income, older couples",UKF2206,31UH,UKF,_B,--,0,0
195,1,Dual,3,H,30,"3 ,H ,30",Established home owning workers,UKG2404,41UE,UKG,_E,WM,0,0
196,1,Dual,1,B,8,"1 ,B ,8","Mature couples, smaller detached homes",--,--,UKJ,_J,SE,0,0
197,1,ElecOnly,1,C,10,"1 ,C ,10",Well-off working families with mortgages,UKJ3301,24UB,UKJ,_H,--,1,0
198,1,Dual,4,K,38,"4 ,K ,38",Low income Asian families,--,--,--,--,--,0,0
199,1,Dual,3,I,32,"3 ,I ,32",Retired home owners,--,--,--,--,--,0,1
200,1,Dual,4,L,39,"4 ,L ,39","Skilled older families, terraces",UKJ3302,24UC,UKJ,_H,SO,1,0
201,1,ElecOnly,1,A,4,"1 ,A ,4","Well-off managers, larger houses",UKJ3301,24UB,UKJ,_H,--,0,0
202,1,ElecOnly,3,J,36,"3 ,J ,36","Older people, flats",UKJ3301,24UB,UKJ,_H,--,0,0
203,1,Dual,1,A,3,"1 ,A ,3",Villages with wealthy commuters,UKG1305,44UF,UKG,_B,WM,0,0
204,1,Dual,3,H,28,"3 ,H ,28",Working families with mortgages,UKM3800,00RF,UKM,_N,SC,1,1
205,2,ElecOnly,3,I,32,"3 ,I ,32",Retired home owners,UKF2305,34UF,UKF,_B,--,0,0
207,1,ElecOnly,3,H,27,"3 ,H ,27","Middle income, home owning areas",UKL1606,00PM,UKL,_K,--,0,0
208,2,Dual,1,A,2,"1 ,A ,2",Wealthy working families with mortgages,UKG3200,00CT,UKG,_B,WM,0,0
209,2,Dual,1,A,4,"1 ,A ,4","Well-off managers, larger houses",UKF1602,37UE,UKF,_B,EM,0,0
210,2,ElecOnly,2,D,13,"2 ,D ,13","Well-off professionals, larger houses and converted flats",UKG1305,44UF,UKG,_B,--,0,0
211,1,ElecOnly,3,H,30,"3 ,H ,30",Established home owning workers,UKF2304,34UE,UKF,_B,--,0,0
212,1,Dual,1,A,3,"1 ,A ,3",Villages with wealthy commuters,UKJ2301,43UB,UKJ,_J,SE,0,0
213,2,Dual,4,M,41,"4 ,M ,41","Skilled workers, semis and terraces",--,--,UKF,_B,EM,0,0
214,1,Dual,3,I,32,"3 ,I ,32",Retired home owners,UKM2101,00QC,UKM,_P,SC,0,0
215,1,Dual,1,C,11,"1 ,C ,11","Well-off managers, detached houses",UKJ2303,43UD,UKJ,_H,SO,1,1
216,1,Dual,4,M,43,"4 ,M ,43","Older people, rented terraces",UKM3800,00RF,UKM,_N,SC,0,0
217,2,Dual,1,A,2,"1 ,A ,2",Wealthy working families with mortgages,--,--,UKG,_E,WM,0,0
218,1,Dual,2,D,13,"2 ,D ,13","Well-off professionals, larger houses and converted flats",--,--,UKJ,_J,--,0,0
219,1,Dual,1,B,8,"1 ,B ,8","Mature couples, smaller detached homes",UKM2701,00RB,UKM,_P,SC,0,1
220,1,ElecOnly,3,I,32,"3 ,I ,32",Retired home owners,--,--,UKM,_P,--,1,0
222,1,ElecOnly,3,H,28,"3 ,H ,28",Working families with mortgages,--,--,UKF,_B,--,0,0
223,2,Dual,1,C,10,"1 ,C ,10",Well-off working families with mortgages,UKF1301,17UB,UKF,_B,EM,0,0
224,1,ElecOnly,3,H,29,"3 ,H ,29",Mature families in suburban semis,UKJ3301,24UB,UKJ,_H,--,1,0
225,1,ElecOnly,3,I,34,"3 ,I ,34","Lower incomes, older people, semis",--,--,UKF,_B,--,0,0
226,1,Dual,4,M,42,"4 ,M ,42","Home owning families, terraces",UKM2701,00RB,UKM,_P,SC,1,1
227,1,ElecOnly,1,C,10,"1 ,C ,10",Well-off working families with mortgages,--,--,UKJ,_J,SE,0,0
228,2,ElecOnly,1,A,2,"1 ,A ,2",Wealthy working families with mortgages,--,--,UKF,_B,EM,0,0
229,1,ElecOnly,1,A,3,"1 ,A ,3",Villages with wealthy commuters,UKM2101,00QC,UKM,_P,--,1,0
230,1,ElecOnly,3,H,28,"3 ,H ,28",Working families with mortgages,UKJ3310,24UL,UKJ,_H,--,1,0
232,1,ElecOnly,6,U,57,"6 ,U ,57",Unclassified,--,--,UKF,_B,--,0,0
233,1,Dual,3,H,28,"3 ,H ,28",Working families with mortgages,UKM3800,00RF,UKM,_N,SC,0,0
234,2,Dual,3,H,30,"3 ,H ,30",Established home owning workers,UKF2201,31UB,UKF,_B,EM,0,0
235,1,Dual,5,N,44,"5 ,N ,44","Low income larger families, semis",UKJ2303,43UD,UKJ,_H,SO,1,1
236,1,Dual,5,N,47,"5 ,N ,47","Low income families, terraced estates",UKM3800,00RF,UKM,_N,SC,0,0
237,1,Dual,3,I,34,"3 ,I ,34","Lower incomes, older people, semis",UKF1100,00FK,UKF,_B,EM,0,0
238,1,ElecOnly,3,H,26,"3 ,H ,26",Younger white-collar couples with mortgages,UKJ4203,29UD,UKJ,_J,SE,0,0
239,1,Dual,1,A,4,"1 ,A ,4","Well-off managers, larger houses",UKG3100,00CN,UKG,_E,WM,0,0
240,1,ElecOnly,3,G,25,"3 ,G ,25","White-collar singles/sharers, terraces",--,--,UKG,_B,--,0,0
241,1,ElecOnly,1,C,11,"1 ,C ,11","Well-off managers, detached houses",UKJ2207,21UH,UKJ,_J,SE,0,0
242,1,ElecOnly,1,B,8,"1 ,B ,8","Mature couples, smaller detached homes",UKF1501,37UB,UKF,_B,--,0,0
243,2,Dual,4,M,43,"4 ,M ,43","Older people, rented terraces",UKF1100,00FK,UKF,_B,EM,0,0
244,1,Dual,3,H,28,"3 ,H ,28",Working families with mortgages,UKJ3301,24UB,UKJ,_H,SO,1,1
245,1,ElecOnly,1,A,2,"1 ,A ,2",Wealthy working families with mortgages,UKJ3306,24UG,UKJ,_H,--,1,0
246,2,Dual,3,H,29,"3 ,H ,29",Mature families in suburban semis,UKG3100,00CN,UKG,_E,WM,0,0
247,1,ElecOnly,3,H,26,"3 ,H ,26",Younger white-collar couples with mortgages,--,--,UKF,_B,--,0,0
248,1,Dual,1,C,10,"1 ,C ,10",Well-off working families with mortgages,,--,UKM,--,--,0,0
250,2,Dual,5,O,52,"5 ,O ,52","Families and single parents, council flats",--,--,--,--,--,0,0
251,1,Dual,4,M,42,"4 ,M ,42","Home owning families, terraces",UKL1605,00PL,UKL,_K,WS,1,1
252,2,ElecOnly,1,B,8,"1 ,B ,8","Mature couples, smaller detached homes",--,--,UKF,_B,--,0,0
253,1,ElecOnly,3,G,24,"3 ,G ,24","Young couples, flats and terraces",--,--,UKJ,_H,--,1,0
254,1,Dual,1,C,11,"1 ,C ,11","Well-off managers, detached houses",--,--,--,--,--,0,0
255,1,ElecOnly,3,I,34,"3 ,I ,34","Lower incomes, older people, semis",--,--,UKJ,_H,--,0,0
256,1,ElecOnly,3,I,32,"3 ,I ,32",Retired home owners,--,--,UKG,_B,--,0,0
257,1,ElecOnly,4,L,40,"4 ,L ,40",Young working families,--,--,--,--,--,0,0
258,1,Dual,1,C,11,"1 ,C ,11","Well-off managers, detached houses",--,--,UKF,_B,EM,0,0
259,2,Dual,1,A,4,"1 ,A ,4","Well-off managers, larger houses",UKF2305,34UF,UKF,_B,EM,0,0
261,1,ElecOnly,1,B,8,"1 ,B ,8","Mature couples, smaller detached homes",UKM2701,00RB,UKM,_P,--,1,0
262,1,Dual,0,,0,,,--,--,--,--,--,0,0
263,2,Dual,1,B,5,"1 ,B ,5",Older affluent professionals,UKF1304,17UG,UKF,_B,EM,0,0
264,2,Dual,3,H,30,"3 ,H ,30",Established home owning workers,--,--,UKF,_B,EM,0,0
265,1,Dual,5,O,50,"5 ,O ,50","Single elderly people, council flats",UKM2102,00QJ,UKM,_P,SC,0,0
266,1,Dual,5,N,48,"5 ,N ,48","Families and single parents, semis and terraces",UKL1605,00PL,UKL,_K,WS,0,0
