Pos,Country,Gold,Silver,Bronze,Total,Total2,points,Rank,Status
75,EGY,0,0,3,3,View medals by sport for Egypt,3,62,Winner
77,ISR,0,0,2,2,View medals by sport for Israel,2,72,Winner
69,QAT,0,1,0,1,View medals by sport for Qatar,2,72,Loser
69,PHI,0,1,0,1,View medals by sport for Philippines,2,72,Loser
69,NIG,0,1,0,1,View medals by sport for Niger,2,72,Loser
69,GRN,0,1,0,1,View medals by sport for Grenada,2,72,Loser
69,BDI,0,1,0,1,View medals by sport for Burundi,2,72,Loser
78,AUT,0,0,1,1,View medals by sport for Austria,1,78,No Change
78,DOM,0,0,1,1,View medals by sport for Dominican Republic,1,78,No Change
78,EST,0,0,1,1,View medals by sport for Estonia,1,78,No Change
78,FIN,0,0,1,1,View medals by sport for Finland,1,78,No Change
78,MDA,0,0,1,1,View medals by sport for Moldova,1,78,No Change
78,MOR,0,0,1,1,View medals by sport for Morocco,1,78,No Change
78,NGA,0,0,1,1,View medals by sport for Nigeria,1,78,No Change
78,POR,0,0,1,1,View medals by sport for Portugal,1,78,No Change
78,TRI,0,0,1,1,View medals by sport for Trinidad and Tobago,1,78,No Change
78,UAE,0,0,1,1,View medals by sport for United Arab Emirates,1,78,No Change
